date,BernalilloCountyM,BernalilloCountyS,McKinleyCountyM,McKinleyCountyS,EddyCountyM,EddyCountyS,ChavesCountyM,ChavesCountyS,OteroCountyM,OteroCountyS
"Feb 8, 2021",120 new cases in Bernalillo County,,12 new cases in McKinley County,,11 new cases in Eddy County,,3 new cases in Chaves County,,19 new cases in Otero County,
"Feb 8, 2021",,,,,,,,,,
"Feb 9, 2021",,,,,,,,,,
"Feb 9, 2021",,,,,,,,,,
"Jan 22, 2021",208 new cases in Bernalillo County,,60 new cases in McKinley County,,40 new cases in Eddy County,,22 new cases in Chaves County,,23 new cases in Otero County,
"Jan 22, 2021",,,,,,,,,,
"Jan 23, 2021",,,,,,,,,,
"Jan 23, 2021",,,,,,,,,,
,,,,,,,,,,
"Jan 24, 2021",146 new cases in Bernalillo County,,24 new cases in McKinley County,,34 new cases in Eddy County,,21 new cases in Chaves County,,16 new cases in Otero County,
"Jan 24, 2021",,,,,,,,,,
"Jan 26, 2021",155 new cases in Bernalillo County,,36 new cases in McKinley County,,38 new cases in Eddy County,,29 new cases in Chaves County,,20 new cases in Otero County,
"Jan 26, 2021",,,,,,,,,,
"Jan 25, 2021",143 new cases in Bernalillo County,,46 new cases in McKinley County,,11 new cases in Eddy County,,14 new cases in Chaves County,,14 new cases in Otero County,
"Jan 25, 2021",,,,,,,,,,
"Jan 27, 2021",157 new cases in Bernalillo County,,31 new cases in McKinley County,,50 new cases in Eddy County,,47 new cases in Chaves County,,14 new cases in Otero County,
"Jan 27, 2021",,,,,,,,,,
"Jan 28, 2021",187 new cases in Bernalillo County,,57 new cases in McKinley County,,22 new cases in Eddy County,,24 new cases in Chaves County,,30 new cases in Otero County,
"Jan 28, 2021",,,,,,,,,,
"Jan 29, 2021",482 new cases in Bernalillo County,,42 new cases in McKinley County,,38 new cases in Eddy County,,27 new cases in Chaves County,,16 new cases in Otero County,
"Jan 29, 2021",,,,,,,,,,
"Jan 31, 2021",,,,,,,,,,
"Jan 31, 2021",,,,,,,,,,
"Jan 30, 2021",255 new cases in Bernalillo County,,54 new cases in McKinley County,,32 new cases in Eddy County,,27 new cases in Chaves County,,23 new cases in Otero County,
"Jan 30, 2021",,,,,,,,,,
"Jan 14, 2021",344 new cases in Bernalillo County,,63 new cases in McKinley County,,64 new cases in Eddy County,,73 new cases in Chaves County,,55 new cases in Otero County,
"Jan 14, 2021",,,,,,,,,,
"Jan 15, 2021",291 new cases in Bernalillo County,,50 new cases in McKinley County,,69 new cases in Eddy County,,77 new cases in Chaves County,,29 new cases in Otero County,
"Jan 15, 2021",,,,,,,,,,
"Jan 16, 2021",,,,,,,,,,
"Jan 16, 2021",,,,,,,,,,
,,,,,,,,,,
"Jan 16, 2021",276 new cases in Bernalillo County,,71 new cases in McKinley County,,51 new cases in Eddy County,,50 new cases in Chaves County,,34 new cases in Otero County,
"Jan 16, 2021",,,,,,,,,,
"Jan 17, 2021",173 new cases in Bernalillo County,,37 new cases in McKinley County,,21 new cases in Eddy County,,39 new cases in Chaves County,,16 new cases in Otero County,
"Jan 17, 2021",,,,,,,,,,
"Jan 19, 2021",257 new cases in Bernalillo County,,32 new cases in McKinley County,,22 new cases in Eddy County,,22 new cases in Chaves County,,18 new cases in Otero County,
"Jan 19, 2021",,,,,,,,,,
"Jan 18, 2021",161 new cases in Bernalillo County,,45 new cases in McKinley County,,23 new cases in Eddy County,,17 new cases in Chaves County,,17 new cases in Otero County,
"Jan 18, 2021",,,,,,,,,,
"Jan 20, 2021",213 new cases in Bernalillo County,,15 new cases in McKinley County,,53 new cases in Eddy County,,31 new cases in Chaves County,,14 new cases in Otero County,
"Jan 20, 2021",,,,,,,,,,
